Link Text,URL
Associate Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_5_11-4-18.pdf
Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/professor_5_11-4-18.pdf
Assistant Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/assistant_professor_05_6-4-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/04/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_04_6-4-18.pdf
Associate Professor (Advt. No. PEC/Recruitment/Faculty/05/2017),https://pec.ac.in/sites/default/files/uploads/jobs/associate_professor_05_6-4-18.pdf
Assistant Professor (Advt. No. PEC/Recruitment/Faculty/05/2017) (Revised),https://pec.ac.in/sites/default/files/uploads/jobs/Assistant%20Professor%20%28Advt.%20No.%20PECRecruitmentFaculty052017%29_revised.pdf
Download Details,https://pec.ac.in/sites/default/files/uploads/jobs/job_faculty_positions_19-7-17.pdf
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/ms_rajeshwaran.png
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/Tushar.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/my_image.jpeg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/manish_0.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/mayank.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sawinder_kaur.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/gurdit_singh.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/rajni.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/rattan.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/Photograph.jpg
,https://pec.ac.in/sites/default/files/default_images/profile.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/savina.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/rajesh_kumar.png
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/anita.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/arshdeep.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/geeta.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/haramrit.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/mohit.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/shakti.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sovina.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/yatindra.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/manavjeet.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sandeep_0.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/shilpa.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/ashwani.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/20170629_112019.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/meena.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/nipun.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sumati.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/dhiraj.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/loveleen.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/raminder.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/rintu.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sulata.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/Photo_Tejinder_1.07%20MB.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/deepak.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/jasbir.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/rita.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/Anshul.JPG
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/kalpana_lamba.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/achitanand.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/rakesh_0.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sksoni.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sandeep.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sanjeev_1.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/SSAMIR.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/tejbir.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/profile%20photo.JPG
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/jawalkar.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/dina_nath.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/jagjit.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/nmsuri.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/parveen.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/rahul.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/sumankant.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/amita_0.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/upload2.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/gaurav_khanal.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/Kundan_kumar.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/poonam_lohan.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/ajay_singh_verma.jpg
,https://pec.ac.in/sites/default/files/departments/faculty_uploads/IMG_20170525_145735_917.jpg
